#,Company Name,Score (1–10),Rationale (Potential Clients Needing MDG)
1,TechnoVal Information Systems,6,Gold Partner; broad implementations — good mid-tier client base in digital transformation.
2,Advanced Electronics Company,7,Strong MENA/Saudi presence in large industries (e.g., defense/energy) — likely many complex S/4HANA needs.
3,Al-Watania Information Systems (Wisys),6,15+ years, 60+ projects — solid but mid-scale.
4,EJADA,7,Top MEA provider; enterprise/public sector focus — high potential for MDG in gov/large corps.
5,Al Moammar Information Systems,6,Long-established integrator; government ties suggest decent enterprise clients.
6,ICM Software House,5,ERP-focused but smaller scale.
7,BaasKaar IT Company Ltd,6,Global/local mix; full SAP journey support.
8,JAWRAA,5,Broad IT/SAP; not dominant in enterprise.
9,LABS,6,Award-winning new implementations — growing client base.
10,Albilad Arabia Co. Ltd.,7,2000+ global projects; strong Saudi scale.
11,Smart National Solutions,7,Public sector growth — Vision 2030 projects often need MDG.
12,LeverX,7,S/4HANA focus; Gold Partner with transformation emphasis.
13,TFORCE,7,Comprehensive KSA solutions; trusted for large deals.
14,Iteanz Technologies,5,General consulting; moderate reach.
15,EcoTech,6,Industry-specific (retail/manufacturing) — relevant for MDG.
16,Denpro Group,7,S/4HANA/RISE focus; oil & gas/healthcare clients.
17,Ara Consulting,5,Training/support heavy; fewer full implementations.
18,DataSack Solutions,5,Analytics/BTP focus; some MDG overlap but niche.
19,BizX Technologies,5,SuccessFactors/HR; limited to MDG in HR data.
20,Accely,7,Life sciences/healthcare; regulated sectors need strong MDG.
21,New Era Technology,6,Custom S/4HANA; MEA presence.
22,SEIDOR,6,Business One/SMEs; growing but less enterprise.
23,Business Line,6,Fast-growing; recent KSA expansion with healthcare wins.
24,Capgemini,9,Global strategic partner; huge KSA enterprise client base.
25,Quality Professionals,4,Limited details; smaller player.
26,Genesis System Technology,4,Smaller/local.
27,mirrorful,3,Minimal info; likely small.
28,internetsolutions,3,Incomplete details; low scale.
29,Indus Novateur,5,Gold Partner; B1/ByD/S/4 mix.
30,Accenture,10,Massive global/Saudi presence; dominates large S/4HANA/MDG projects.
31,IBM Saudi Arabia,9,Strong SAP integration; enterprise clients in complex data scenarios.
32,SAP Saudi Arabia,8,Direct SAP entity; refers/handles large deals but partners for niche MDG.
33,PwC Saudi Arabia,9,Big4; huge advisory/SAP practice in finance/compliance (MDG heavy).
34,Deloitte Saudi Arabia,10,Largest Big4 consulting; top for S/4HANA transformations/MDG.
35,KPMG Saudi Arabia,9,Big4; strong in risk/compliance — MDG for data quality.
36,EY Saudi Arabia,9,Big4; digital strategy/SAP implementations.
37,Atos Saudi Arabia,8,Global services; cloud/S/4HANA scale.
38,Wipro Saudi Arabia,8,Large Indian IT; outsourcing/MDG in multi-country ops.
39,Infosys Saudi Arabia,8,Strong SAP/digital; analytics/MDG overlap.
40,TCS Saudi Arabia,9,Massive ERP expertise; enterprise clients.
41,HCL Technologies Saudi Arabia,8,Engineering/manufacturing focus; MDG in supply chain.
42,NTT Data Saudi Arabia,8,Integration/managed services; complex projects.
43,Blacktape,4,Smaller listed partner.
44,EWAANTECH,4,Active but limited scale.
45,Arabian Daem for IT Services,5,Local consulting.
46,Tecspro,5,Implementation focus.
47,ADVERT LEAP,3,Minimal.
48,Tonsetech,6,SAP implementation; some reviews.
49,Oranaa Marketing Services,3,Marketing tie-ins; low SAP depth.
50,Fujitsu Saudi Arabia,8,Global strategic; infrastructure/SAP projects.
